centre,video_id,url,title,channel,published,duration_s,views,test_class,transcript,n_streets,n_turns,streets_found,traceable,flags
walkley,VQargyRfxpE,https://youtube.com/watch?v=VQargyRfxpE,Ottawa Walkley G Test Route #2,Orya Driving Academy,2025-08-13,2109,24079,G,auto,6,51,airport parkway; conroy; don reid; hunt club; saint laurent; walkley,,
walkley,9mhzt72BrZs,https://youtube.com/watch?v=9mhzt72BrZs,"G Drivers License Road Test - Route Walkley Road (Ottawa, Ontario) - dashcam walkthrough",Bruno Monteiro,2019-06-24,1548,56626,unknown,auto,4,24,airport parkway; hunt club; lester; walkley,,CLASS?
walkley,uSz7huIMNDg,https://youtube.com/watch?v=uSz7huIMNDg,Ottawa Walkley G Test Route #1 ,Orya Driving Academy,2025-08-12,1849,34064,G,auto,3,17,airport parkway; hunt club; walkley,,
walkley,sARBET47jDE,https://youtube.com/watch?v=sARBET47jDE,"Ottawa Walkley G Road Test| PASSED | NOVEMBER 21, 2022 | FULL Dash Cam Video",Palito Vlog,2022-11-22,1140,68030,G,auto,3,15,airport parkway; lester; walkley,,
walkley,1BeFs4nBHCk,https://youtube.com/watch?v=1BeFs4nBHCk,"Ottawa Walkley G Drive Test! Passed, April 2022 - Dashcam Video",KRISAMIGO'S VLOG,2022-04-09,1248,38512,unknown,none,2,14,airport parkway; walkley,,CLASS?
walkley,C8d93QNzIVU,https://youtube.com/watch?v=C8d93QNzIVU,Ottawa G Driving Test Tips: Complete Walkley Route 1 Guide Demo For First-Time Pass | City Explorer,City Explorer,2021-02-24,1432,27334,ambiguous,none,2,9,hunt club; walkley,,CLASS?
walkley,Uun0IrxENng,https://youtube.com/watch?v=Uun0IrxENng,October 2023 Ottawa Walkley G Road Test + Guide + Examiner | PASSED | FULL Dash Cam Video | Canada,Immersive Tour - iCherry,2023-10-24,1202,69656,G,none,2,6,hunt club; walkley,,
walkley,cj7t37L0F5I,https://youtube.com/watch?v=cj7t37L0F5I,Walkley Ottawa| G Road Test | Airport Route | Passed | 2024| Newest | Test de conduite G,stephen huang,2024-04-27,1160,32743,G,none,2,4,lester; walkley,,
walkley,zjYqbRtMEis,https://youtube.com/watch?v=zjYqbRtMEis,Walkley drive test tips for passing G test,Kawkab Hammam,2021-11-04,263,374,G,auto,2,3,airport parkway; walkley,,
walkley,eO9dHGG9YO4,https://youtube.com/watch?v=eO9dHGG9YO4,G2 Road Test 2026 ❄️ Hit Snow on a 3-Point Turn… Still Passed!,Canadian Drivers ,2026-01-13,1802,105659,ambiguous,auto,1,29,walkley,,CLASS?
