source_type,url,title,published,duration_s,has_captions,extra,traceable,notes
youtube,https://youtube.com/watch?v=uSz7huIMNDg,Ottawa Walkley G Test Route #1 ,2025-08-12,1849,False,views=33866 channel=Orya Driving Academy,,
youtube,https://youtube.com/watch?v=Uun0IrxENng,October 2023 Ottawa Walkley G Road Test + Guide + Examiner | PASSED | FULL Dash Cam Video | Canada,2023-10-24,1202,False,views=69586 channel=Immersive Tour - iCherry,,
youtube,https://youtube.com/watch?v=FuJ8J-7bKdU,Ottawa Walkley G2 Test Route #1,2025-08-11,1096,False,views=26578 channel=Orya Driving Academy,,
youtube,https://youtube.com/watch?v=y4Cqqxcnh7c,"Ottawa Walkley - G drive test route - Passed test, May 2026. +Tips #Ottawa #walkleydrivetestcentre ",2026-06-15,1197,False,views=1077 channel=Gotshi,,
youtube,https://youtube.com/watch?v=VQargyRfxpE,Ottawa Walkley G Test Route #2,2025-08-13,2109,False,views=23941 channel=Orya Driving Academy,,
youtube,https://youtube.com/watch?v=dT9Pm7wSZqI,Ottawa Walkley G2 Driving Test Tips: Complete Route 2 Guide  - Dashcam (No Sound) | City Explorer,2024-06-14,602,False,views=7185 channel=City Explorer,,
youtube,https://youtube.com/watch?v=sARBET47jDE,"Ottawa Walkley G Road Test| PASSED | NOVEMBER 21, 2022 | FULL Dash Cam Video",2022-11-22,1140,False,views=67988 channel=Palito Vlog,,
youtube,https://youtube.com/watch?v=bVM4POE00a4,Ottawa Walkley G2 Driving Test Tips: Complete Route 3 Guide  - Dashcam (No Sound) | City Explorer,2024-06-16,738,False,views=7705 channel=City Explorer,,
youtube,https://youtube.com/watch?v=TWwTJuabJdE,OTTAWA WALKLEY FULL G DRIVE TEST PASSED!! (preciousfamily),2023-10-21,1087,False,views=9199 channel=Preciousfamily,,
youtube,https://youtube.com/watch?v=Z062s3Un5J8,Ottawa Walkley G Drive Test route1 Demo: Why I failed 3 times,2026-05-31,2033,False,views=549 channel=丁丁,,
youtube,https://youtube.com/watch?v=jJCRSqiE6ms,G2 Road Test Ottawa Walkley. Parking section(all you need to know)【Floor plan is in description】,2021-10-19,140,False,views=27424 channel=Immersive Tour - iCherry,,SHORT
youtube,https://youtube.com/watch?v=sHE72JmAGOA,Ottawa G2 Driving Test Tips: Complete Walkley Route 1 Guide Demo For First-Time Pass | City Explorer,2021-03-03,696,False,views=94994 channel=City Explorer,,
youtube,https://youtube.com/watch?v=cj7t37L0F5I,Walkley Ottawa| G Road Test | Airport Route | Passed | 2024| Newest | Test de conduite G,2024-04-27,1160,False,views=32719 channel=stephen huang,,
youtube,https://youtube.com/watch?v=qsnhk84B8RQ,Ottawa Walkley G Driving Test Tips: Complete Route 2 Guide  - Dashcam (No Sound) | City Explorer,2024-06-06,1269,False,views=5167 channel=City Explorer,,
youtube,https://youtube.com/watch?v=C8d93QNzIVU,Ottawa G Driving Test Tips: Complete Walkley Route 1 Guide Demo For First-Time Pass | City Explorer,2021-02-24,1432,False,views=27323 channel=City Explorer,,
youtube,https://youtube.com/watch?v=qo7Rh8FwZhg,Ottawa G2 Driving Test Tips: Complete Walkley Route 2 Guide Demo For First-Time Pass | City Explorer,2021-03-21,625,False,views=40561 channel=City Explorer,,
youtube,https://youtube.com/watch?v=vNzR2IcsqSc,Ottawa Walkley G Drive test route2 Demo: Why I failed 3 times,2026-05-31,1403,False,views=239 channel=丁丁,,
youtube,https://youtube.com/watch?v=NnSzUmOeUMo,Ottawa Walkley G2 Driving Test Tips: Complete Route 1 Guide  - Dashcam (No Sound) | City Explorer,2024-06-12,664,False,views=1845 channel=City Explorer,,
youtube,https://youtube.com/watch?v=i14pQgGMGLE,How to Master Parallel Parking for Your Ontario G2 Drive Test | Essential Tips|,2024-06-05,131,False,views=211909 channel=GrayJays Driving,,SHORT
youtube,https://youtube.com/watch?v=gLgP6-WCcjQ,"Ottawa drive test G Walkley, Road test pratique G Walkley Ottawa",2025-03-13,839,False,views=1158 channel=Y B R 🇭🇹 ,,
youtube,https://youtube.com/watch?v=hnZPGogyywY,"G2  (G1 exit) road test Ontario, Ottawa Walkley",2020-08-30,720,False,views=91581 channel=Alex P,,
youtube,https://youtube.com/watch?v=GJPTwRe5c9w,Ottawa G Driving Test Tips: Complete Walkley Route 2 Guide Demo For First-Time Pass | City Explorer,2021-03-14,1304,False,views=21967 channel=City Explorer,,
youtube,https://youtube.com/watch?v=MKTsaqTxhQk,Ottawa G2 Driving Test Tips: Complete Walkley Route 3 Guide Demo For First-Time Pass | City Explorer,2021-03-30,760,False,views=25569 channel=City Explorer,,
youtube,https://youtube.com/watch?v=h9-2wZRZzrw,🇨🇦Ottawa Walkley G Drive Test. Route Google Map. AirportPkway 1. Dashcam.渥太华沃克利路考.,2024-07-28,1504,False,views=4230 channel=小学鸡穷搬加🍁Lully,,
youtube,https://youtube.com/watch?v=jU_BJyq6GJM,Road test - F driver´s license – Ottawa Walkley,2024-08-29,836,False,views=2673 channel=ParaDoc,,
youtube,https://youtube.com/watch?v=MWVS_L62xdE,G2 Driving Test Complete Guide | How to Pass on Your First Attempt,2026-05-26,734,False,views=18292 channel=Toronto Drivers,,
youtube,https://youtube.com/watch?v=F1HRcnzWpJQ,Common Mistakes To Avoid in G2 Road Test,2023-05-07,174,False,views=74838 channel=Trubicars,,SHORT
youtube,https://youtube.com/watch?v=w3s1WkZlAT4,G2 Road Test Ontario-How To PASS (Tips &amp; Secrets)Easy Method works 100%#g2test ##lesson,2023-03-20,601,False,views=440391 channel=Canadian Drivers ,,
youtube,https://youtube.com/watch?v=csv1VBcBkHg,How to Do Downhill Parking In G2 Test! #drivingexam #drivinglessons #drivingacademy #newdriver,2025-06-21,35,False,views=193969 channel=Ex Driving Examiner’s Driving school,,SHORT
youtube,https://youtube.com/watch?v=c55ZchvsdCE,Master the 3-Point Turn (G2 &amp; G Road Test Tip!),2025-07-23,118,False,views=290631 channel=Toronto Drivers,,SHORT
youtube,https://youtube.com/watch?v=5jnlIv7wNhc,G2 &amp; G ROAD TEST – Ontario – Left Turn Mistakes That FAIL Drivers Instantly,2025-06-02,111,False,views=123505 channel=PASS THE ROAD TEST,,SHORT
youtube,https://youtube.com/watch?v=wg_1QgjzMtI,A driving test failed just before finishing!#drivingfails #drivingtest #mocktest #testroute #driving,2023-05-26,23,False,views=7308677 channel=Learn Driving,,SHORT
youtube,https://youtube.com/watch?v=vPLb45k3ZSc,Road side stop or Emergency parking  G2 Road test Ontario Windsor,2023-12-19,28,False,views=190937 channel=IQ Driving School,,SHORT
youtube,https://youtube.com/watch?v=-Kj4UjZzMOM,| Walkerton Ontario *G2* Route + Example Video | Educator Driving School |,2025-07-07,460,False,views=3799 channel=Educator Driving School,,
youtube,https://youtube.com/watch?v=X9ljVj9VY2k,best left turn for your road test G2 or full G,2024-06-29,32,False,views=107255 channel=IQ Driving School,,SHORT
youtube,https://youtube.com/watch?v=bFBt7BWbm14,Top 10 Reasons for an Automatic Fail on a Driving Test,2021-05-19,440,True,views=3864662 channel=Smart Drive Test,,
youtube,https://youtube.com/watch?v=gJQgNHD3U6U,Ottawa Walkley G Driving Test Tips: Complete Route 1 Guide  - Dashcam (No Sound) | City Explorer,2024-06-04,1442,False,views=4843 channel=City Explorer,,
youtube,https://youtube.com/watch?v=1bW90IzGAv4,I passed my Canadian G Driving test!!! Ottawa Walkley Drive Test center,2022-04-09,979,False,views=5077 channel=The Symsons,,
youtube,https://youtube.com/watch?v=kryW5O0Ck50,Parallel Parking Lesson | parallel parking tutorial: 4 steps,2024-03-16,60,False,views=1966610 channel=Key2DLHINDI,,SHORT
youtube,https://youtube.com/watch?v=3UQmHRYNNGQ,Walkley driving test center is Empty after 6Pm😱#walkleydriving#walkley#ottawadriving#drivingtest,2023-10-02,10,False,views=6819 channel=Immersive Tour - iCherry,,SHORT
youtube,https://youtube.com/watch?v=PIAqjAVB_-c,How to demonstrate 3 point turn in G2! #drivingexam #roadtestfails #toronto,2025-07-03,34,False,views=62071 channel=Ex Driving Examiner’s Driving school,,SHORT
youtube,https://youtube.com/watch?v=afiC7_zMcwE,HOW TO FAIL YOUR DRIVING G2 TEST#dashcam#safety#carcrashes#short,2024-11-25,28,False,views=29247 channel=Canadian Drivers ,,SHORT
youtube,https://youtube.com/watch?v=LPJ4YueX1JY,Ottawa Canotek G2 Driving Test Tips: Complete Route 1 Guide Demo For First-Time Pass | City Explorer,2021-04-21,1267,False,views=46565 channel=City Explorer,,
youtube,https://youtube.com/watch?v=lKKn4VSwIaM,Parallel Parking #parallelparking #drivingtips #howtoparallelpark #parallelparkingtips #drivingtest,2024-02-02,60,False,views=2180036 channel=Sky Driving School Ltd.,,SHORT
